model,auroc,ece_10bin,train_time_s,infer_time_s,total_time_s
LogisticRegression,0.8143247676325861,0.03404920083902971,0.0032246250193566084,0.0001413749996572733,0.0033660000190138817
RandomForest,0.787515946783306,0.0408618899273105,0.3929974170168862,0.03494320798199624,0.4279406249988824
GradientBoosting,0.8091245975335642,0.029721005727725913,0.36874608299694955,0.0012250000145286322,0.3699710830114782
MLP,0.8045683737318511,0.02566598571384246,1.1358309169881977,0.0002514999941922724,1.13608241698239
